Channel,Counts
0,821600
1,819715
2,820580
3,820839
4,819628
5,820702
6,820563
7,821555
8,819336
9,820080
10,820161
11,818571
12,821294
13,820661
14,822079
15,821225
16,820374
17,821626
18,821054
19,820960
20,821241
21,820166
22,821496
23,820462
24,821378
25,821728
26,821219
27,820125
28,820855
29,821251
30,818591
31,821827
32,820852
33,820845
34,821177
35,820608
36,822366
37,821738
38,820750
39,820089
40,820562
41,820504
42,819418
43,821479
44,820209
45,822799
46,821885
47,821940
48,821565
49,822552
50,821412
51,819099
52,821759
53,819361
54,820461
55,820534
56,820135
57,820494
58,819730
59,821085
60,821892
61,820594
62,820685
63,820724
64,819975
65,819273
66,820536
67,820127
68,820387
69,819084
70,821332
71,820155
72,821289
73,820415
74,819445
75,820662
76,819043
77,821794
78,820380
79,820581
80,819764
81,820708
82,820810
83,821277
84,820244
85,819291
86,820419
87,819729
88,819160
89,820881
90,820275
91,820362
92,821490
93,820690
94,820128
95,821464
96,819332
97,820589
98,819715
99,820869
100,819543
101,819775
102,821480
103,819285
104,819190
105,819791
106,820320
107,819825
108,819730
109,819890
110,823028
111,819692
112,820137
113,819919
114,821045
115,820405
116,819374
117,819029
118,821347
119,819586
120,819950
121,819628
122,818914
123,819970
124,819620
125,819488
126,819383
127,818230
128,821185
129,820428
130,820059
131,818832
132,819103
133,820449
134,820193
135,819222
136,819897
137,820601
138,820987
139,819613
140,819984
141,818920
142,819441
143,820442
144,820601
145,819723
146,821567
147,818372
148,819847
149,820469
150,819162
151,820316
152,818581
153,816554
154,818990
155,817772
156,820176
157,819433
158,819345
159,820967
160,818639
161,818014
162,819862
163,819518
164,819524
165,819986
166,818591
167,820423
168,820224
169,820050
170,818911
171,820373
172,821065
173,819176
174,821796
175,820492
176,820446
177,820871
178,820590
179,819960
180,819350
181,821083
182,818675
183,819075
184,821199
185,820848
186,821297
187,819826
188,819338
189,820972
190,820995
191,820746
192,819951
193,821379
194,820982
195,820166
196,821236
197,821356
198,819829
199,822574
200,820633
201,819535
202,821391
203,821366
204,820932
205,819175
206,821717
207,820806
208,819505
209,820931
210,820484
211,820151
212,820710
213,820917
214,821473
215,821612
216,819796
217,822319
218,821499
219,820481
220,823353
221,821523
222,822831
223,820461
224,821113
225,822246
226,821398
227,821272
228,821701
229,820779
230,820089
231,821807
232,820292
233,821868
234,820337
235,821304
236,822309
237,821457
238,821524
239,821033
240,822411
241,822071
242,821399
243,821518
244,820570
245,822715
246,820458
247,820455
248,822005
249,820374
250,820898
251,821191
252,820528
253,822968
254,820409
255,821065
256,822102
257,822082
258,822848
259,821071
260,821901
261,820470
262,820945
263,822181
264,822513
265,821728
266,821689
267,821047
268,822125
269,822483
270,822175
271,821466
272,822833
273,820042
274,821075
275,820579
276,820972
277,820761
278,822567
279,820835
280,820655
281,821157
282,821867
283,821949
284,819044
285,820975
286,820348
287,822698
288,822427
289,821320
290,821388
291,823120
292,819932
293,822237
294,822689
295,820927
296,821628
297,822013
298,822083
299,820571
300,821976
301,821485
302,819168
303,822180
304,820865
305,821368
306,820753
307,820993
308,818754
309,821069
310,821506
311,821766
312,819883
313,821530
314,821276
315,822411
316,821852
317,820000
318,820687
319,819371
320,821723
321,820912
322,820506
323,819475
324,821430
325,820743
326,820903
327,819644
328,819885
329,820415
330,818928
331,819986
332,818728
333,819205
334,819757
335,819145
336,819062
337,818948
338,820821
339,820140
340,819516
341,819101
342,820189
343,821136
344,819633
345,818463
346,817813
347,818163
348,818035
349,817201
350,819935
351,818441
352,817343
353,819409
354,818247
355,819832
356,818446
357,816407
358,819339
359,818396
360,817028
361,817300
362,816938
363,817590
364,816258
365,815070
366,817270
367,817306
368,815018
369,817063
370,814966
371,815920
372,815074
373,814731
374,816151
375,814971
376,814675
377,814691
378,817233
379,814341
380,814721
381,815249
382,813647
383,813097
384,812515
385,814392
386,812485
387,812987
388,811711
389,812662
390,812361
391,812471
392,811714
393,811382
394,812622
395,810787
396,811129
397,811176
398,811032
399,811665
400,810650
401,809162
402,809310
403,808496
404,809232
405,810198
406,809052
407,808366
408,808912
409,807716
410,807321
411,806583
412,807376
413,808295
414,806795
415,807856
416,805049
417,805233
418,805329
419,804768
420,805337
421,804108
422,802952
423,801615
424,801609
425,801967
426,802178
427,800634
428,799440
429,800178
430,798440
431,800558
432,798458
433,798431
434,797970
435,797319
436,796821
437,796395
438,794296
439,794496
440,792689
441,793322
442,793341
443,791890
444,791878
445,790209
446,790136
447,788739
448,788670
449,786356
450,784904
451,785108
452,782471
453,783781
454,781836
455,782125
456,780145
457,777289
458,777187
459,776469
460,774629
461,772777
462,770488
463,769647
464,768185
465,765792
466,765652
467,763592
468,762054
469,758357
470,758149
471,753245
472,752958
473,749021
474,748848
475,744949
476,743168
477,738513
478,735306
479,733793
480,730709
481,725490
482,722627
483,718341
484,717199
485,712641
486,707606
487,703215
488,700320
489,696474
490,691024
491,684814
492,681238
493,675148
494,672727
495,666459
496,665302
497,660058
498,655789
499,651097
500,649902
501,647786
502,644750
503,639118
504,637757
505,633595
506,632208
507,624594
508,618988
509,612517
510,606632
511,600232
512,592028
513,586522
514,580295
515,574294
516,567935
517,564833
518,557574
519,555101
520,550635
521,545665
522,542276
523,541721
524,539108
525,537274
526,535246
527,533027
528,532441
529,532872
530,531176
531,531606
532,529501
533,530363
534,531313
535,532059
536,532831
537,535161
538,534921
539,537064
540,538701
541,540301
542,542953
543,545677
544,549494
545,551680
546,556155
547,559432
548,565104
549,571235
550,575654
551,582032
552,587879
553,591212
554,597117
555,604689
556,610047
557,617399
558,622533
559,631635
560,638083
561,644640
562,650395
563,656856
564,659902
565,667305
566,673535
567,679854
568,684434
569,691085
570,693758
571,700607
572,701825
573,709785
574,713741
575,718258
576,723304
577,724360
578,729471
579,731419
580,735390
581,739339
582,742183
583,745495
584,748030
585,748620
586,752813
587,756064
588,757975
589,759505
590,762828
591,762669
592,765978
593,767306
594,769043
595,769938
596,772375
597,774863
598,777473
599,776860
600,777779
601,779100
602,780172
603,781585
604,782057
605,784095
606,784290
607,785780
608,788365
609,785474
610,788179
611,787419
612,789478
613,789902
614,792432
615,792986
616,791696
617,794310
618,795126
619,794274
620,793444
621,797099
622,794681
623,797457
624,798123
625,795711
626,798574
627,799936
628,801670
629,801833
630,802771
631,802806
632,802187
633,801759
634,802162
635,805595
636,805055
637,805573
638,803352
639,803797
640,807338
641,805295
642,804412
643,806992
644,806190
645,807697
646,807245
647,808786
648,807874
649,809154
650,809520
651,810584
652,810104
653,809669
654,810905
655,810937
656,811491
657,811004
658,809599
659,810494
660,811909
661,812207
662,812131
663,811909
664,813286
665,813515
666,812568
667,813856
668,814426
669,813561
670,814919
671,813900
672,813375
673,814918
674,815544
675,815631
676,814838
677,816234
678,814501
679,814685
680,814854
681,816101
682,815191
683,816343
684,817663
685,816529
686,816234
687,816865
688,815310
689,817007
690,816611
691,814844
692,815842
693,816418
694,816373
695,816361
696,818626
697,817396
698,816933
699,816490
700,816109
701,817409
702,818368
703,818234
704,816899
705,818227
706,818373
707,817934
708,818047
709,818524
710,818402
711,819059
712,820375
713,817722
714,817904
715,818204
716,818280
717,818979
718,819149
719,818920
720,819664
721,819370
722,819935
723,818923
724,818965
725,819508
726,819867
727,819675
728,819713
729,818896
730,820790
731,820361
732,819255
733,820607
734,817338
735,818877
736,819840
737,819818
738,821534
739,820867
740,821796
741,819839
742,819787
743,819071
744,820585
745,819901
746,818960
747,819202
748,821389
749,819516
750,820721
751,820423
752,820535
753,820524
754,819340
755,821211
756,820065
757,821544
758,820476
759,819668
760,819880
761,820796
762,820786
763,821312
764,819788
765,820122
766,820476
767,820749
768,819737
769,821365
770,821031
771,819707
772,821517
773,819880
774,822459
775,821827
776,821611
777,822303
778,819475
779,821603
780,822493
781,820090
782,819452
783,821036
784,820816
785,818989
786,821346
787,821636
788,822507
789,819691
790,820544
791,822804
792,821184
793,821382
794,820975
795,821820
796,821096
797,820417
798,821701
799,819892
800,821097
801,818880
802,820468
803,819298
804,820617
805,820180
806,820700
807,819152
808,821137
809,821697
810,819614
811,820964
812,820373
813,820048
814,819838
815,820145
816,820978
817,820945
818,820102
819,821000
820,819947
821,819673
822,820891
823,819900
824,821300
825,820953
826,818862
827,820127
828,819727
829,819701
830,818312
831,819989
832,819735
833,820359
834,820957
835,821111
836,820556
837,819532
838,821332
839,820759
840,819312
841,821662
842,819318
843,820257
844,820312
845,820597
846,822441
847,818879
848,819853
849,819098
850,818574
851,818887
852,821238
853,820711
854,819452
855,817795
856,820247
857,820499
858,819044
859,820355
860,818047
861,819094
862,818452
863,819323
864,819831
865,819626
866,818976
867,818415
868,820289
869,818811
870,820027
871,819454
872,819393
873,818861
874,820271
875,819029
876,817557
877,817614
878,819355
879,819390
880,817687
881,818926
882,818288
883,819156
884,819727
885,818716
886,818810
887,816776
888,819659
889,817723
890,819334
891,818679
892,819847
893,818616
894,818025
895,818119
896,818936
897,818478
898,818414
899,818195
900,819357
901,818794
902,819644
903,818956
904,819900
905,819531
906,816714
907,818716
908,819370
909,818633
910,818968
911,819319
912,816978
913,818133
914,817807
915,817612
916,820108
917,819454
918,819369
919,819715
920,820234
921,818731
922,820432
923,818758
924,817878
925,819639
926,820524
927,818814
928,818888
929,817946
930,819165
931,819183
932,818448
933,819735
934,817972
935,817334
936,819241
937,819881
938,819447
939,819800
940,818910
941,819306
942,820030
943,818285
944,819854
945,818118
946,820042
947,817808
948,818311
949,820120
950,818579
951,820371
952,818496
953,820784
954,821406
955,818794
956,820332
957,817097
958,818897
959,818935
960,821253
961,820333
962,818211
963,820799
964,819797
965,819816
966,818013
967,820523
968,821183
969,820848
970,818472
971,818005
972,819800
973,819797
974,820574
975,820187
976,819508
977,819788
978,819453
979,820688
980,818061
981,819579
982,820548
983,821251
984,819226
985,820928
986,821184
987,821808
988,819734
989,819087
990,819732
991,819555
992,819829
993,820801
994,820397
995,819003
996,821445
997,819761
998,821009
999,819882
1000,820562
1001,820727
1002,820395
1003,820240
1004,822095
1005,820448
1006,820386
1007,820124
1008,818571
1009,820099
1010,819791
1011,820423
1012,820665
1013,820233
1014,818658
1015,817895
1016,820820
1017,821768
1018,819123
1019,819870
1020,818790
1021,820789
1022,820370
1023,819527